Name,JobTitle,NatureOfGiftHospitality,NameOfProvider,DateGiftHospitalityReceivedFrom,DateGiftHospitalityReceivedTo
Heather Hancock,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Tim Bennett,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Ruth Hussey,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Jim Smart,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Ram Gidoomal,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Heather Peck,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Rosie Glazebrook,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
David Brooks,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Stewart Houston,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Paul Williams,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Catherine Brown,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Guy Poppy,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Jason Feeney,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Julie Pierce,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Rod Ainsworth,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Chris Hitchen,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Maria Jennings,Board Members and Executive Management Team Members,Lunch and Breakfast ,Morrisons,2016-10-18,2016-10-19
Ruth Hussey,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Heather Hancock,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Tim Bennett,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Jim Smart,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Ram Gidoomal,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Heather Peck,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Rosie Glazebrook,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
David Brooks,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Stewart Houston,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Paul Williams,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Catherine Brown,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Guy Poppy,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Jason Feeney,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Julie Pierce,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Rod Ainsworth,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Chris Hitchen,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Maria Jennings,Board Members and Executive Management Team Members,Dinner,IGD,2016-10-18,2016-10-18
Julie Pierce,"Director of Openness, Digital and Data",Drinks,Comotion,2016-10-24,2016-10-24
Julie Pierce,"Director of Openness, Digital and Data",Drinks,High Tech Bristol & Bath CIC,2016-12-02,2016-12-02
Catherine Brown,Chief Executive,Drinks and Nibbles,Food and Drink Federation,2016-12-02,2016-12-02
Catherine Brown,Chief Executive,Lunch,Whitehall and Industry Group,2016-12-08,2016-12-08
